title,authors,description,category,averageRating,ratingsCount,thumbnail
Advanced Neuromuscular Exercise Physiology,Phillip Gardiner,"Advanced Neuromuscular Exercise Physiology, Second Edition, uses a mix of biochemistry, molecular biology, neurophysiology, and muscle physiology to provide a synthesis of knowledge and research in the field. The text is a leading resource devoted solely to the topic of nervous and neuromuscular systems, and it assists readers in identifying current directions in research and new avenues for exploration. Advanced Neuromuscular Exercise Physiology, Second Edition, offers readers a foundation of knowledge while detailing the most recent findings in the rapidly changing field of neuromuscular exercise physiology. It simplifies complex concepts with illustrations and graphs—including 20 new figures—all showcased in a new larger format to help students visualize and better understand the material. A new chapter on clinical considerations has been added, focusing on conditions that involve a compromise in the neuromuscular mechanisms necessary for movement. Other chapters have been updated with new or expanded content, including the following topics: Blood flow restriction during exercise as a training method The influence of pain on motor unit recruitment Surface EMG signals and the role that high-density surface EMG has played in motor unit recruitment research Updates on the role of the motoneuronal initial segment in the activation and adaptation of motoneurons An exploration of the “onion skin” pattern and neuromechanical matching for an explanation of motor unit recruitment The role of exerkines and small extracellular vesicles in adaptation to exercise The text covers a variety of important issues in the field, beginning with a discussion of motor unit types, muscle blood flow, and metabolic pathways in control of metabolism. Possible peripheral and central contributors to fatigue are discussed, as well as the effects of aerobic endurance training and strength training on the protein profiles of muscle fibers and on the central nervous system. Chapter objectives have been added to the text to provide a road map for the readers, and new review questions help students assess their understanding of the content. Chapter summaries recap the key issues presented for each topic. Analyses of research findings and research applications are highlighted in special sidebars. Throughout the text, practical examples help readers engage with the content. Within the dynamic field of neuromuscular exercise physiology, ideas of how nerves and muscles collaborate during acute and chronic exercise are continually evolving. Advanced Neuromuscular Exercise Physiology, Second Edition, offers an authoritative perspective of current research in the field as it seeks to encourage discussion, further study, and new research directions.",Science,,,http://books.google.com/books/content?id=KCHLEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Handbook of Industrial Crystallization,Allan Myerson,"Crystallization is an important separation and purification process used in industries ranging from bulk commodity chemicals to specialty chemicals and pharmaceuticals. In recent years, a number of environmental applications have also come to rely on crystallization in waste treatment and recycling processes.The authors provide an introduction to the field of newcomers and a reference to those involved in the various aspects of industrial crystallization. It is a complete volume covering all aspects of industrial crystallization, including material related to both fundamentals and applications. This new edition presents detailed material on crystallization of biomolecules, precipitation, impurity-crystal interactions, solubility, and design.Provides an ideal introduction for industrial crystallization newcomers Serves as a worthwhile reference to anyone involved in the fieldCovers all aspects of industrial crystallization in a single, complete volume",Technology & Engineering,,,http://books.google.com/books/content?id=gJ7KNvbMtREC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Dictionary of Scientific Biography,American Council of Learned Societies,Also available online as part of the Gale Virtual Reference Library under the title Complete dictionary of scientific biography.,Biography,,,http://books.google.com/books/content?id=2CpYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Understanding Weather,"Karel Karel Hughes, Julian Mayes","Weather provides a wide variety of stimuli for our senses. The sound of thunder and gales, the smell of damp soil at the start of a summer thunderstorm are but temporary phenomena while the visual panorama of the changing sky that provides a more revealing insight into the workings of the dynamic atmosphere. Understanding Weather shows how it is possible to understand weather and climate by combining our ability to observe weather systems from the earth's surface with visualisation from above - notably by means of satellite imagery. This fusion of human observation with the contrasting capabilities of remote sensing gives us a new perspective for exploring the three dimensional atmosphere. Remote sensing imagery and real-time weather information are now widely available through the internet, allowing the reader to relate the case studies to today's weather situation. As with all sciences, understanding starts with careful observation. This books aims to show that it is possible to analyse global weather systems through a visual approach rather than the traditional use of mathematics and physics. After examining the interaction of atmospheric heat, moisture and motion in a non-technical style, the contrasting but complementary techniques of weather observation from 'below' and 'above' are compared. The world's climates are then surveyed with key weather features illustrated by satellite imagery, highlighting the way in which weather events may develop into atmospheric hazards.",Science,,,http://books.google.com/books/content?id=botIAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
What I Require From Life,Krishna Dronamraju,"J. B. S. Haldane (1892-64) was one of the scientific giants of the 20th century. A polymath who made important contributions to sciences ranging from physiology to genetics and biochemistry, he was also a highly skilled writer and an extraordinary character - brilliant, witty, idealistic, funny, and pugnacious. What I Require From Life is a compilation of his popular scientific essays written from the 1940s to last years of his life, that reflect not only his masterful ability to communicate scientific understanding, but also his deep commitment to socialism. The essays included here fall into two groups; those written by Haldane during the 1940s when he embraced Marxism, and those written during his last years in India (1957-64), and they range from An Autobiography in Brief (written three years before his death), to his Marxist view of evolution The Chicken or the Egg? , to his poignant poem Cancer is a Funny Thing. Edited with an introduction by Haldane's last graduate pupil, Professor Krishna Dronamraju, this collection of thought-provoking and beautifully-written science writing also comes with a Preface written by the late Sir Arthur C. Clarke, who provides a personal perspective on Haldane's unique place in 20th century science.",Science,,,http://books.google.com/books/content?id=zieQDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Introduction to Sustainability,Robert Brinkmann,"Introduction to Sustainability is the first major textbook to review major themes in the cutting-edge field of sustainability. The book is suitable for introductory interdisciplinary courses on sustainability, as well as those in the fields of geography, geology, sociology, planning, political science, and anthropology. Brinkmann’s book allows students to see the world in new ways while also encouraging them to become part of the change needed to ensure the long-term sustainability of the planet. The text includes material on the development of the field of sustainability; environmental sustainability issues like water, food, and energy; social sustainability themes like environmental justice and transportation; and economic sustainability topics like green businesses and economic development. The book concludes with a chapter on sustainability issues in college and universities. Brinkmann intersperses many fascinating case studies and text boxes that encourage students to deeply explore the material. This is a book that not only organizes the complex field of sustainability, but also encourages students to take action to make the world a better place.",Technology & Engineering,,,http://books.google.com/books/content?id=cOyhCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Out of Control,Kevin Kelly,"This is a book about how our manufactured world has become so complex that the only way to create yet more complex things is by using the principles of biology. This means decentralized, bottom up control, evolutionary advances and error-honoring institutions. I also get into the new laws of wealth in a network-based economy, what the Biosphere 2 project in Arizona has or has not to teach us, and whether large systems can predict or be predicted. And more: restoration biology, encryption, a-life, and the lessons of hypertext. Yes, it's a romp, in 520 pages. But the best part, my friends tell me, is the 28-page annotated bibliography. If you have suspected that technology could be better, more life-like, then this book is for you. -- Product Description.",Business & Economics,,,http://books.google.com/books/content?id=mGZfZKtsxtwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Radical History of Development Studies,Uma Kothari,A self-examination of the history of development studies by its leading practitioners.,Business & Economics,,,http://books.google.com/books/content?id=Stq0AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Biology and Cultivation of Edible Mushrooms,"Shu-ting Chang, W. A. Hayes",,Gardening,,,http://books.google.com/books/content?id=xQzNheToR4oC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Principles of Sedimentology and Stratigraphy,Sam Boggs,,Science,5,1,http://books.google.com/books/content?id=bUFOAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A History of European Thought in the Nineteenth Century,John Theodore Merz,,Philosophy,,,http://books.google.com/books/content?id=huMRAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Book Nobody Read,Owen Gingerich,"After three decades of investigation, and after traveling hundreds of thousands of miles across the globe-from Melbourne to Moscow, Boston to Beijing-Gingerich has written an utterly original book built on his experience and the remarkable insights gleaned from examining some 600 copies of De revolutionibus. He found the books owned and annotated by Galileo, Kepler and many other lesser-known astronomers whom he brings back to life, which illuminate the long, reluctant process of accepting the Sun-centered cosmos and highlight the historic tensions between science and the Catholic Church. He traced the ownership of individual copies through the hands of saints, heretics, scalawags, and bibliomaniacs. He was called as the expert witness in the theft of one copy, witnessed the dramatic auction of another, and proves conclusively that De revolutionibus was as inspirational as it was revolutionary. Part biography of a book, part scientific exploration, part bibliographic detective story, The Book Nobody Read recolors the history of cosmology and offers new appreciation of the enduring power of an extraordinary book and its ideas.",Science,5,1,http://books.google.com/books/content?id=2JQ2U9LJRBcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Deep Brain Stimulation Management,"William J. Marks, Jill L. Ostrem","Deep brain stimulation (DBS) is now a firmly established treatment for movement disorders, and an increasing body of evidence supports DBS in the treatment of other neurological and psychiatric disorders. This essential reference guide outlines a practical approach to the use of this paradigm-shifting therapy and covers key aspects of DBS practice. Chapters describe how to implement a DBS program and select appropriate patients, device programming to achieve optimal symptom control, and long-term management of patients. Thoroughly revised, this third edition includes additional chapters on managing patients with emerging applications of DBS. An entire chapter is dedicated to troubleshooting common problems with the therapy as many 'failures' are preventable and addressable. With contributions from experts in the field, this is a must-have reference guide for any clinician working with DBS patients.",Medical,,,http://books.google.com/books/content?id=U2B2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Birth of Modern Science,Paolo Rossi,This history of the birth of modern science shatters the illusion that science is 'dry' and divorced from culture by exploring the powerful clashes between traditions and value systems that gave rise to it. The author shows how many of the characteristics that distinguish science today emerged in the midst of the wars and plagues of the seventeenth century and defines what was new about this form of knowledge.,Science,,,http://books.google.com/books/content?id=qnLeXBbTyvYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Viral Storm,Nathan D. Wolfe,"'Wolfe has an important story to tell and as a virologist at the forefront of pandemic forecasting, he is the perfect person to tell it' Guardian In The Viral Storm award-winning biologist Nathan Wolfe - known as 'the Indiana Jones of virus hunters' for his work in jungles and rain forests across the world - shows why we are so vulnerable to a global pandemic. The Viral Storm examines how viruses like HIV, swine flu, and bird flu have almost wiped us out in the past - and may do so in the future. It explores why modern life makes us so at risk to global pandemics, and what new technologies can do to prevent them. Wolfe's provocative vision may leave you feeling distinctly uncomfortable - but it will reveal exactly what it is we are up against. 'An excellent piece of scientific gothic, rich in descriptions of the threat we face from emerging viruses' Nature 'Part autobiography, part warning ... enthralling' BBC Focus 'Quietly terrifying ... It's hard not to feel a bit feverish at times while reading' Boston Globe 'The plague-ridden future imagined by this authoritative, measured, yet gripping book is extremely alarming' Sunday Times 'Nathan Wolfe is saving the world from near-inevitable pandemic ... a kick-ass book' Mary Roach, author of Stiff 'The world's most prominent virus hunter' New Yorker 'A good place to start preparing for what might come' New Humanist",Science,,,http://books.google.com/books/content?id=bLh6s25IOpoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Cultural Nature of Human Development,Barbara Rogoff,"Three-year-old Kwara'ae children in Oceania act as caregivers of their younger siblings, but in the UK, it is an offense to leave a child under age 14 ears without adult supervision. In the Efe community in Zaire, infants routinely use machetes with safety and some skill, although U.S. middle-class adults often do not trust young children with knives. What explains these marked differences in the capabilities of these children? Until recently, traditional understandings of human development held that a child's development is universal and that children have characteristics and skills that develop independently of cultural processes. Barbara Rogoff argues, however, that human development must be understood as a cultural process, not simply a biological or psychological one. Individuals develop as members of a community, and their development can only be fully understood by examining the practices and circumstances of their communities.",Social Science,5,2,http://books.google.com/books/content?id=HSkaQ3FTsLIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
On the Origin of Species Illustrated,Charles Darwin,"On the Origin of Species (or, more completely, On the Origin of Species by Means of Natural Selection, or the Preservation of Favoured Races in the Struggle for Life), [3] published on 24 November 1859, is a work of scientific literature by Charles Darwin which is considered to be the foundation of evolutionary biology.[4] Darwin's book introduced the scientific theory that populations evolve over the course of generations through a process of natural selection. It presented a body of evidence that the diversity of life arose by common descent through a branching pattern of evolution. Darwin included evidence that he had gathered on the Beagle expedition in the 1830s and his subsequent findings from research, correspondence, and experimentation",,,,http://books.google.com/books/content?id=WX0KzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Human Biology,"Cecie Starr, Beverly McMillan",,Human biology,,,http://books.google.com/books/content?id=GsOfPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Popular Deciduous and Evergreen Trees,Franklin Elliott,Franklin Elliott provides readers with a practical guide to landscaping with popular deciduous and evergreen plants.,Gardening,,,http://books.google.com/books/content?id=vlDxSBGB0cYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
American Values,"Robert F. Kennedy, Jr.","With rich detail, compelling honesty, and a storyteller’s gift, RFK Jr. describes his life growing up Kennedy in a tumultuous time in history that eerily echoes the issues of nuclear confrontation, religion, race, and inequality that we confront today. “With emotion and striking detail, RFK Jr. recalls both the private joys and very public pain of his childhood.”— Independent Catholic News In this powerful book that combines the best aspects of memoir and political history, the third child of Attorney General Robert Kennedy and nephew of JFK takes us on an intimate journey through his life, including watershed moments in the history of our nation. Stories of his grandparents Joseph and Rose set the stage for their nine remarkable children, among them three U.S. senators—Teddy, Bobby, and Jack—one of whom went on to become attorney general, and the other, the president of the United States. We meet Allen Dulles and J. Edgar Hoover, two men whose agencies posed the principal threats to American democracy and values. We live through the Cuban Missile Crisis, when insubordinate spies and belligerent generals in the Pentagon and Moscow brought the world to the cliff edge of nuclear war. At Hickory Hill in Virginia, where RFK Jr. grew up, we encounter the celebrities who gathered at the second most famous address in Washington, members of what would later become known as America’s Camelot. Through his father’s role as attorney general we get an insider’s look as growing tensions over civil rights led to pitched battles in the streets and 16,000 federal troops were called in to enforce desegregation at Ole Miss. We see growing pressure to fight wars in Southeast Asia to stop communism. We relive the assassination of JFK, RFK’s run for the presidency that was cut short by his own death, and the aftermath of those murders on the Kennedy family. RFK Jr. also shares his own experiences, not just with historical events and the movers who shaped them but also with his mother and father, with his own struggles with addiction, and with the ways he eventually made peace with both his Kennedy legacy and his own demons. A lyrically written book that provides insight, hope, and steady wisdom for Americans as they wrestle, as never before, with questions about America’s role in history and the world and what it means to be American.",Biography & Autobiography,,,http://books.google.com/books/content?id=xHDUDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Grand Contraption,David Park,"Park takes readers on an incredible journey that illuminates the multitude of elaborate ""contraptions"" by which humans in the Western world have imagined the earth they inhabit--and what lies beyond.",Science,,,http://books.google.com/books/content?id=E_o3Luq8QRsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Book of Instruction in the Elements of the Art of Astrology,Al Biruni,"Al Biruni, one of the greatest Arab scholars, was born on September 4, 973, in what is now Uzbekistan. He showed talent at an early age and by his early 20's had written several acclaimed papers. Political unrest in his 20's and 30's found him at one point at Gurgan, on the shores of the Caspian Sea. Peace found him in Ghaznah, which is today in Afghanistan. From 1017 to 1030 he travelled extensively in India, becoming fluent in Sanskrit. From this he wrote his monumental survey, India, of the history, customs and beliefs of the subcontinent. His other books include The Chronology of Ancient Nations, the Masudic Cannon, Book of Instructions, and more than 100 others, some of which are lost. He died on December 13, 1048, aged 75. He is buried in Ghaznah. The Book of Instruction in the Elements of the Art of Astrology was written for Lady Rayhanah, to whom it is dedicated. R. Ramsay Wright, the translator, said it could be regarded as a primer of 11th century science. Among its highlights are a comprehensive list of more than 150 Lots, various forms of aspects and planetary relationships, planetary positions relative to the sun, an excellent text on rulerships as well as comprehensive notes on weather and meteorological phenomena. This book was unknown to medieval European astrologers. This edition, comprising the astrological part of the original (sections 347-530) has been taken from Wright's pioneering 1934 translation, itself taken from Persian and Arabic sources. For this edition, text and tables have been reset, and a new index added.","Body, Mind & Spirit",4,1,http://books.google.com/books/content?id=7jTdDsBklc4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
How Greek Science Passed to the Arabs,De Lacy O'Leary,,Science,,,http://books.google.com/books/content?id=ocomAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Amphibian Evolution,Rainer R. Schoch,"This book focuses on the first vertebrates to conquer land and their long journey to become fully independent from the water. It traces the origin of tetrapod features and tries to explain how and why they transformed into organs that permit life on land. Although the major frame of the topic lies in the past 370 million years and necessarily deals with many fossils, it is far from restricted to paleontology. The aim is to achieve a comprehensive picture of amphibian evolution. It focuses on major questions in current paleobiology: how diverse were the early tetrapods? In which environments did they live, and how did they come to be preserved? What do we know about the soft body of extinct amphibians, and what does that tell us about the evolution of crucial organs during the transition to land? How did early amphibians develop and grow, and which were the major factors of their evolution? The Topics in Paleobiology Series is published in collaboration with the Palaeontological Association, and is edited by Professor Mike Benton, University of Bristol. Books in the series provide a summary of the current state of knowledge, a trusted route into the primary literature, and will act as pointers for future directions for research. As well as volumes on individual groups, the series will also deal with topics that have a cross-cutting relevance, such as the evolution of significant ecosystems, particular key times and events in the history of life, climate change, and the application of a new techniques such as molecular palaeontology. The books are written by leading international experts and will be pitched at a level suitable for advanced undergraduates, postgraduates, and researchers in both the paleontological and biological sciences.",Science,,,http://books.google.com/books/content?id=0ps6AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Handbook of Medicinal Herbs,James A. Duke,"Still considered the definitive work on medicinal herbs and their uses after two decades, the Handbook of Medicinal Herbs has undergone a long-anticipated revision. In the second edition, world-renowned ethnobotanist James A. Duke provides up-to-date data on over 800 of the world's most important medicinal plant species. The book contains mo",Health & Fitness,5,1,http://books.google.com/books/content?id=8AJkBmPDRUUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Foundations of the Origin of Species,Charles Darwin,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Philosophy,,,http://books.google.com/books/content?id=gXZUtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
An Introduction to the Coriolis Force,"Henry M. Stommel, Dennis W. Moore","Offers a physical explanation of the Coriolis force. This book is useful for studying the hydrodynamics of the ocean and atmosphere. It also presents many aspects of classical mechanics/dynamics physics. It explains the complexities of this force, about which many scientists have had lingering uncertainties since it was first described in 1831.",Computers,,,http://books.google.com/books/content?id=-JQx_t3yGB4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Spirit of the Wild Dog,"Lesley J. Rogers, Gisela Kaplan, Gisela T. Kaplan","From the grey wolf to the dingo, the South American bush dog to the whistling hunter, wild dogs have been free spirits on every continent except Antarctica and have thrived in all environments. This is an up-to-date and highly readable account of the skills, personalities and lifestyles of these dogs.",Nature,,,http://books.google.com/books/content?id=GndDw_cxV1UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Cosmos,Alexander Von Humboldt,"Excerpt from Cosmos: A Survey of the General Physical History of the Universe To follow this variety of enjoyment, spring. Ing from ideas, to its source, we have only to cast our eye back upon the rise and progress of the history of the philosophy of nature; in other words, of the ancient doctrine of Cosmos. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",Science,,,http://books.google.com/books/content?id=UBb3MAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Atmosphere, Weather, and Climate","Roger Graham Barry, Richard J. Chorley","""From clear explanations of basic physical and chemical principles of the atmosphere to descriptions of regional climates and their changes, this popular text presents a comprehensive coverage of global climatology.""--Cover",Science,,,http://books.google.com/books/content?id=GwNtvwmROvEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Flock Together,B.J. Hollars,"After stumbling upon a book of photographs depicting extinct animals, B.J. Hollars became fascinated by the creatures that are no longer with us; specifically, extinct North American birds. How, he wondered, could we preserve so beautifully on film what we’ve failed to preserve in life? And so begins his yearlong journey to find out, one that leads him from bogs to art museums, from archives to Christmas Counts, until he at last comes as close to extinct birds as he ever will during a behind-the-scenes visit at the Chicago Field Museum. Heartbroken by the birds we’ve lost, Hollars takes refuge in those that remain. Armed with binoculars, a field guide, and knowledgeable friends, he begins his transition from budding birder to environmentally conscious citizen, a first step on a longer journey toward understanding the true tragedy of a bird’s song silenced forever. Told with charm and wit, Flock Together is a remarkable memoir that shows how “knowing” the natural world—even just a small part—illuminates what it means to be a global citizen and how only by embracing our ecological responsibilities do we ever become fully human. A moving elegy to birds we’ve lost, Hollars’s exploration of what we can learn from extinct species will resonate in the minds of readers long beyond the final page. Watch a book trailer for Hollars’s newest book, Midwestern Strange.",Science,5,1,http://books.google.com/books/content?id=Qg20DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Sherris Medical Microbiology, Fifth Edition","Kenneth J. Ryan, C. George Ray, Nafees Ahmad, W. Lawrence Drew, James J. Plorde","No other text clarifies the link between microbiology and human disease states like Sherris Medical Microbiology A Doody's Core Title for 2011! 4 STAR DOODY'S REVIEW! ""This will continue to be a popular textbook, primarily due to the well-designed figures and pictures in all chapters. It is one of the better textbooks I have seen for teaching the basics of medical microbiology.""--Doody's Review Service For more than a quarter-of-a-century Sherris has been unmatched in its ability to help you understand the nature of microorganisms and their role in the maintenance of health or causation of disease. Through a dynamic, engaging approach, this classic text gives you a solid grasp of the significance of etiologic agents, the pathogenic processes, epidemiology, and the basis of therapy for infectious diseases. The fifth edition has been completely revised to reflect this rapidly-moving field’s latest developments and includes a host of learning aids including clinical cases, USMLE-type questions, marginal notes, and extensive new full-color art. Features 66 chapters that simply and clearly describe the strains of viruses, bacteria, fungi, and parasites that can bring about infectious diseases Core sections on viral, bacterial, fungal, and parasitic diseases open with new chapters detailing basic biology, pathogenesis, and antimicrobial agents and feature a consistent presentation covering Organism (structure, replication, genetics, etc.), Disease (epidemiology, pathogenesis, immunity), and Clinical Aspects (manifestations, diagnosis, treatment, prevention) Explanations of host-parasite relationship, dynamics of infection, and host response USMLE-style questions and a clinical case conclude each chapter on the major viral, bacterial, fungal, and parasitic diseases All tables, photographs, and illustrations are now in full color Clinical Capsules cover the essence of the disease(s) caused by major pathogens Marginal Notes highlight key points within a paragraph to facilitate review",Science,,,http://books.google.com/books/content?id=OR2UpyYFx7oC&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Short History of Science to the Nineteenth Century,Charles Singer,,Science,,,http://books.google.com/books/content?id=DI4yAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Movements and Habits of Climbing Plants (Classic Reprint),Charles Darwin,"Excerpt from The Movements and Habits of Climbing Plants An English translation of of text-book of Botany, ' and this the Lehrbuch der Botanik by is a great boon to all lovers oi Professor Sachs, has recently natural science in England. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",Science,,,http://books.google.com/books/content?id=jp97swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
On the Revolutions of Heavenly Spheres,Nicolaus Copernicus,"The Ptolemaic system of the universe, with the earth at the center, had held sway since antiquity as authoritative in philosophy, science, and church teaching. Following his observations of the heavenly bodies, Nicolaus Copernicus (1473-1543) abandoned the geocentric system for a heliocentric model, with the sun at the center. His remarkable work, On the Revolutions of Heavenly Spheres, stands as one of the greatest intellectual revolutions of all time, and profoundly influenced, among others, Galileo and Sir Isaac Newton.",Science,,,http://books.google.com/books/content?id=LeqhDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Language Instinct,Steven Pinker,"In this classic, the world's expert on language and mind lucidly explains everything you always wanted to know about language: how it works, how children learn it, how it changes, how the brain computes it, and how it evolved. With deft use of examples of humor and wordplay, Steven Pinker weaves our vast knowledge of language into a compelling story: language is a human instinct, wired into our brains by evolution. The Language Instinct received the William James Book Prize from the American Psychological Association and the Public Interest Award from the Linguistics Society of America. This edition includes an update on advances in the science of language since The Language Instinct was first published.",Language Arts & Disciplines,,,http://books.google.com/books/content?id=0OFrAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Dictionary of Scientific Biography,Charles Coulston Gillispie,Also available online as part of the Gale Virtual Reference Library under the title Complete dictionary of scientific biography.,Electronic books,,,
On the Origin of Species,Charles Darwin,"On the Origin of Species Or the Preservation of Favoured Races in The Struggle for Life On the Origin of Species, published on 24 November 1859, is a work of scientific literature by Charles Darwin which is considered to be the foundation of evolutionary biology. Its full title was On the Origin of Species by Means of Natural Selection, or the Preservation of Favoured Races in the Struggle for Life. For the sixth edition of 1872, the short title was changed to The Origin of Species. Darwin's book introduced the scientific theory that populations evolve over the course of generations through a process of natural selection. It presented a body of evidence that the diversity of life arose by common descent through a branching pattern of evolution. Darwin included evidence that he had gathered on the Beagle expedition in the 1830s and his subsequent findings from research, correspondence, and experimentation. Various evolutionary ideas had already been proposed to explain new findings in biology. There was growing support for such ideas among dissident anatomists and the general public, but during the first half of the 19th century the English scientific establishment was closely tied to the Church of England, while science was part of natural theology. Ideas about the transmutation of species were controversial as they conflicted with the beliefs that species were unchanging parts of a designed hierarchy and that humans were unique, unrelated to other animals. The political and theological implications were intensely debated, but transmutation was not accepted by the scientific mainstream.",Science,,,http://books.google.com/books/content?id=uSaEmgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
America's Forgotten Pandemic,Alfred W. Crosby,"Between August 1918 and March 1919 the Spanish influenza spread worldwide, claiming over 25 million lives - more people than perished in the fighting of the First World War. It proved fatal to at least a half-million Americans. Yet, the Spanish flu pandemic is largely forgotten today. In this vivid narrative, Alfred W. Crosby recounts the course of the pandemic during the panic-stricken months of 1918 and 1919, measures its impact on American society, and probes the curious loss of national memory of this cataclysmic event. This 2003 edition includes a preface discussing the then recent outbreaks of diseases, including the Asian flu and the SARS epidemic.",History,,,http://books.google.com/books/content?id=4cILAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Heroes, Rogues, and Lovers","James M. Dabbs, Mary Godwin Dabbs","Interweaving intimate case histories with first-hand scientific research, this book examines how testosterone, the principal male hormone, has been maligned and misunderstood, and reveals its role in human evolution and its effect upon human and animal behavior.",Medical,,,http://books.google.com/books/content?id=Tu7aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Microstructure of Steels and Cast Irons,Madeleine Durand-Charre,"The book comprises three parts. Part 1 gives a historical description of the development of ironworking techniques since the earliest times. Part 2 is the core of the book and deals with the metallurgical basis of microstructures, with four main themes: phase diagrams, solidification processes, diffusion, and solid state phase transformations. Part 3 begins by an introduction to steel design principles. It then goes on to consider the different categories of steels, placing emphasis on their specific microstructural features. Finally, a comprehensive reference list includes several hundred pertinent articles and books. The book is the work of a single author, thus ensuring uniformity and concision. It is intended for scientists, metallurgical engineers and senior technicians in research and development laboratories, design offices and quality departments, as well as for teachers and students in universities, technical colleges and other higher education establishments.",Science,,,http://books.google.com/books/content?id=n9pRE-4W8XIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
